Run,Stimulus,Condition,Code,Catch,Break,Responses,Timing
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0122_Left.png,0122_Left,5,0,0,0,3.083144000000175
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0067_Left.png,0067_Left,3,0,0,0,3.082875199997943
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0202_Right.png,0202_Right,10,0,0,0,3.082858400000987
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0067_Right.png,0067_Right,4,0,0,0,3.083115199999156
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0337_Right.png,0337_Right,16,0,0,0,3.0831622000005154
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0202_Left.png,0202_Left,9,0,0,0,3.0830955999990692
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0157_Right.png,0157_Right,8,0,0,0,3.0831272000032186
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0157_Right.png,0157_Right,8,1,0,0,3.082930300002772
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0022_Right.png,0022_Right,2,0,0,0,3.0828528000020015
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0157_Left.png,0157_Left,7,0,0,0,3.083116499998141
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0247_Right.png,0247_Right,12,0,1,0,3.0831197000006796
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0337_Left.png,0337_Left,15,0,0,0,3.0829550999987987
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0022_Left.png,0022_Left,1,0,0,0,3.0831589000008535
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0247_Left.png,0247_Left,11,0,0,0,3.0831169999983103
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0247_Left.png,0022_Right,11,1,0,1,3.0831034000002546
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0292_Left.png,0292_Left,13,0,0,0,3.0830973000011
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0122_Right.png,0122_Right,6,0,0,0,3.0831094999994093
1,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0292_Right.png,0292_Right,14,0,0,0,3.099662000000535
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0202_Left.png,0202_Left,9,0,0,0,3.0828497000002244
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0247_Left.png,0247_Left,11,0,0,0,3.083164300001954
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0292_Left.png,0292_Left,13,0,0,0,3.0831378000002587
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0292_Left.png,0247_Left,13,1,0,1,3.082623099999182
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0067_Left.png,0067_Left,3,0,1,0,3.0824841000030574
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0157_Right.png,0157_Right,8,0,0,0,3.0830588999997417
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0022_Left.png,0022_Left,1,0,0,0,3.0831313999988197
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0247_Right.png,0247_Right,12,0,0,0,3.0829314999973576
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0337_Right.png,0337_Right,16,0,0,0,3.0828411000002234
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0122_Left.png,0122_Left,5,0,0,0,3.0831554000033066
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0122_Left.png,0022_Right,5,1,0,1,3.0831308999986504
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0122_Right.png,0122_Right,6,0,0,0,3.0831604999984847
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0022_Right.png,0022_Right,2,0,0,0,3.0831575999982306
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0202_Right.png,0202_Right,10,0,0,0,3.082946800001082
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0157_Left.png,0157_Left,7,0,0,0,3.083123799999157
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0292_Right.png,0292_Right,14,0,1,0,3.083104999997886
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0067_Right.png,0067_Right,4,0,0,0,3.083054599999741
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0067_Right.png,0247_Left,4,1,0,1,3.0821546000006492
2,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0337_Left.png,0337_Left,15,0,0,0,3.083070399999997
3,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0337_Right.png,0337_Right,16,0,0,0,3.0831094999994093
3,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0157_Right.png,0157_Right,8,0,0,0,3.082875399999466
3,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0157_Left.png,0157_Left,7,0,0,0,3.0831552000017837
3,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0247_Left.png,0247_Left,11,0,0,0,3.083098199997039
3,C:/Users/meglab/EExperiments/Sebastian/BlenderPilot/Stimuli/0022_Right.png,0022_Right,2,0,0,0,3.082879599998705
